연번,시도,시군구,읍면동,주    소,전화번호,실제_기관명_전화_AI,D열과의 매핑여부,팩스번호,실제_기관명_팩스_AI,I열과의 매핑여부,팩스전송결과(250711),팩스전송_성공여부,우선순위_케이스,Phase0_성공여부,Phase0_전화매칭,Phase0_팩스매칭,Phase0_신뢰도,전화_매칭_유형,팩스_매칭_유형,최종_결과,오류_메시지
957,광주,서구,치평동행정복지센터,광주광역시 서구 상무공원로 62,062-350-4322,062-350-4322은 광주 서구 치평동 주민센터의 전화번호입니다,,062-607-4849,062-607-4849은 광주 남구 진월동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
958,광주,서구,상무1동행정복지센터,광주광역시 서구 월드컵4강로197번길 20,062-350-4342,062-350-4342은 광주 서구 상무1동 주민센터의 전화번호입니다,,062-360-7600,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
959,광주,서구,상무2동행정복지센터,광주광역시 서구 화정로85번길 17,062-350-4362,062-350-4362은 광주 서구 상무2동 주민센터의 전화번호입니다,,062-350-4009,062-350-4009은 광주 서구 상무2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
960,광주,서구,화정1동행정복지센터,광주광역시 서구 내방로338번길 11,062-607-4527,,,062-607-4549,062-607-4549은 광주 남구 방림1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
963,광주,서구,화정4동행정복지센터,광주광역시 서구 염화로83번길 3,,,,062-360-7600,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
964,광주,서구,서창동행정복지센터,광주광역시 서구 눌재로 412,062-360-7114,,,062-607-4599,062-607-4599은 광주 남구 봉선1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
965,광주,서구,금호1동행정복지센터,광주광역시 서구 운천로31번길 17,062-350-4482,062-350-4482은 광주 서구 금호1동 주민센터의 전화번호입니다,,062-360-7600,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
966,광주,서구,금호2동행정복지센터,광주광역시 서구 풍금로 135,062-350-4502,062-350-4502은 광주 서구 금호2동 주민센터의 전화번호입니다,,062-360-7600,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
967,광주,서구,풍암동행정복지센터,광주광역시 서구 풍암1로 27,062-350-4522,062-350-4522은 광주 서구 풍암동 주민센터의 전화번호입니다,,062-607-4699,062-607-4699은 광주 남구 월산4동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
968,광주,서구,동천동행정복지센터,광주광역시 서구 유림로98번길 8,062-350-4601,062-350-4601은 광주 서구 동천동 주민센터의 전화번호입니다,,062-350-4022,062-350-4022은 광주 서구 동천동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
969,광주,남구,양림동행정복지센터,광주광역시 남구 백서로 94,062-607-4503,062-607-4503은 광주 남구 양림동 주민센터의 전화번호입니다,,062-607-4524,062-607-4524은 광주 남구 양림동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
970,광주,남구,방림1동행정복지센터,광주광역시 남구 오방로 101-2,062-607-4527,,,062-607-4549,062-607-4549은 광주 남구 방림1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
971,광주,남구,방림2동행정복지센터,광주광역시 남구 천변좌로566번다길 12,062-607-4552,062-607-4552은 광주 남구 방림2동 주민센터의 전화번호입니다,,062-607-4574,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
972,광주,남구,봉선1동행정복지센터,광주광역시 남구 봉선로51번길 21,062-607-4586,062-607-4586은 광주 남구 봉선1동 주민센터의 전화번호입니다,,062-607-4599,062-607-4599은 광주 남구 봉선1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
973,광주,남구,봉선2동행정복지센터,광주광역시 남구 봉선중앙로26번길 10,062-607-4604,062-607-4604은 광주 남구 봉선2동 주민센터의 전화번호입니다,,062-607-4624,062-607-4624은 광주 남구 봉선2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
974,광주,남구,사직동행정복지센터,광주광역시 남구 중앙로95번길 14,,,,062-654-4971,062-654-4971은 광주 남구 사직동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
975,광주,남구,월산동행정복지센터,광주광역시 남구 덕림2길 3,062-607-4652,062-607-4652은 광주 남구 월산동 주민센터의 전화번호입니다,,062-607-4674,062-607-4674은 광주 남구 월산동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
976,광주,남구,월산4동행정복지센터,광주광역시 남구 대남대로390번길 11,062-607-4679,062-607-4679은 광주 남구 월산4동 주민센터의 전화번호입니다,,062-607-4699,062-607-4699은 광주 남구 월산4동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
979,광주,남구,백운2동행정복지센터,광주광역시 남구 진다리로6번길 9,062-607-4752,062-607-4752은 광주 남구 백운2동 주민센터의 전화번호입니다,,062-607-4774,062-607-4774은 광주 남구 백운2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
981,광주,남구,주월2동행정복지센터,광주광역시 남구 군분로13번길 12,062-607-4806,,,062-607-4824,062-607-4824은 광주 남구 주월2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
983,광주,남구,효덕동행정복지센터,광주광역시 남구 효우로 200,062-350-4302,062-350-4302은 광주 서구 유덕동 주민센터의 전화번호입니다,,062-607-4994,062-607-4994은 광주 남구 효덕동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
984,광주,남구,송암동행정복지센터,광주광역시 남구 송암로 66,062-960-8114,,,062-671-2971,062-671-2971은 광주 남구 송암동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
985,광주,남구,대촌동행정복지센터,광주광역시 남구 포충로 591,062-607-4878,062-607-4878은 광주 남구 대촌동 주민센터의 전화번호입니다,,062-385-9134,062-385-9134은 광주 남구 대촌동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
989,광주,북구,임동행정복지센터,광주광역시 북구 서림로 53,062-410-8643,062-410-8643은 광주 북구 임동 주민센터의 전화번호입니다,,062-960-3758,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
991,광주,북구,용봉동행정복지센터,광주광역시 북구 용주로18번길 28,062-410-8663,062-410-8663은 광주 북구 용봉동 주민센터의 전화번호입니다,,062-526-2015,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
995,광주,북구,동림동행정복지센터,광주광역시 북구 북문대로 236,062-410-8703,,,062-607-4549,062-607-4549은 광주 남구 방림1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
996,광주,북구,우산동행정복지센터,광주광역시 북구 서방로 68번길 21,062-960-7662,062-960-7662은 광주 광산구 우산동 주민센터의 전화번호입니다,,062-960-8990,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1000,광주,북구,문흥2동행정복지센터,광주광역시 북구 문산로 25,062-268-2634,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1011,광주,북구,양산동행정복지센터,광주광역시 북구 양산택지로 32,,,,062-510-1457,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1012,광주,북구,신용동행정복지센터,광주광역시 북구 첨단연신로107번길 22,062-410-8305,062-410-8305은 광주 북구 신용동 주민센터의 전화번호입니다,,062-960-8990,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1013,광주,광산구,송정1동행정복지센터,광주광역시 광산로 70,062-960-7609,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1014,광주,광산구,송정2동행정복지센터,광주광역시 광산구 광산로30번길 65,062-941-3527,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1016,광주,광산구,신흥동행정복지센터,광주광역시 광산구 신흥동안길 9,,,,062-960-3745,062-960-3745은 광주 광산구 신흥동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1017,광주,광산구,어룡동행정복지센터,광주광역시 광산구 선운중앙로67번길 6,062-960-7643,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1018,광주,광산구,우산동행정복지센터,광주광역시 광산구 무진대로 246-12,062-960-7662,062-960-7662은 광주 광산구 우산동 주민센터의 전화번호입니다,,062-960-8990,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1019,광주,광산구,월곡1동행정복지센터,광주광역시 광산구 사암로 306,062-960-8114,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1020,광주,광산구,월곡2동행정복지센터,광주광역시 광산구 산정공원로72번길 21-12,062-960-7822,062-960-7822은 광주 광산구 임곡동 주민센터의 전화번호입니다,,062-960-3758,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1021,광주,광산구,비아동행정복지센터,광주광역시 광산구 비아중앙로31번길 8-6,062-960-8114,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1022,광주,광산구,첨단1동행정복지센터,광주광역시 광산구 첨단중앙로 160,062-350-4242,062-350-4242은 광주 서구 농성1동 주민센터의 전화번호입니다,,062-960-8990,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1023,광주,광산구,첨단2동행정복지센터,광주광역시 광산구 첨단중앙로124번길 24,062-960-8114,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1025,광주,광산구,운남동행정복지센터,광주광역시 광산구 목련로217번길 10,,,,062-607-4699,062-607-4699은 광주 남구 월산4동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1026,광주,광산구,신창동행정복지센터,광주광역시 광산구 왕버들로 291,062-960-8114,,,062-960-7884,062-960-7884은 광주 광산구 신창동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1028,광주,광산구,하남동행정복지센터,광주광역시 광산구 하남대로54번길 15,062-960-8114,,,062-960-7886,062-960-7886은 광주 광산구 하남동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1029,광주,광산구,임곡동행정복지센터,광주광역시 광산구 고봉로 788,062-960-7821,,,062-607-4549,062-607-4549은 광주 남구 방림1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1030,광주,광산구,동곡동행정복지센터,광주광역시 광산구 동곡로 151-56,,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1031,광주,광산구,평동행정복지센터,광주광역시 광산구 평동로 790,,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1032,광주,광산구,삼도동행정복지센터,광주광역시 광산구 오운로 433-1,,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1033,광주,광산구,본량동행정복지센터,광주광역시 광산구 용진로 379,062-960-7863,,,062-960-8990,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1034,대전,동구,중앙동 행정복지센터,대전광역시 동구 대동천우안5길 24 ,042-251-4114,,,042-224-6178,042-224-6178은 대전 동구 중앙동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1040,대전,동구,대동 행정복지센터,대전광역시 동구 계족로 180 ,042-251-4114,,,042-611-2569,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1045,대전,동구,성남동 행정복지센터,대전광역시 동구 계족로368번길 70 ,042-251-4114,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1047,대전,동구,삼성동 행정복지센터,대전광역시 동구 태전로 138-12 ,042-251-4114,,,042-611-2569,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1049,대전,동구,산내동 행정복지센터,대전광역시 동구 산내로1257번길 53,042-251-4114,,,042-367-0012,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1053,대전,중구,대흥동행정복지센터,"대전광역시 중구 대흥로 109, 3층",042-606-6114,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1055,대전,중구,석교동행정복지센터,대전광역시 중구 대종로 267,042-606-6114,,,042-283-8171,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1057,대전,중구,부사동행정복지센터,대전광역시 중구 보문로68번길 20,042-606-6114,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1065,대전,중구,문화2동행정복지센터,대전광역시 중구 당디로6번길 90,042-288-8870,042-288-8870은 대전 중구 문화2동 주민센터의 전화번호입니다,,042-288-5900,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1067,대전,서구,복수동행정복지센터,대전광역시 서구 복수동로49,042-288-5000,042-288-5000은 대전 서구 복수동 주민센터의 전화번호입니다,,042-288-5900,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1068,대전,서구,도마1동행정복지센터,대전광역시 서구 도마3길 46,042-288-5030,042-288-5030은 대전 서구 도마1동 주민센터의 전화번호입니다,,042-288-5942,042-288-5942은 대전 서구 도마1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1069,대전,서구,도마2동행정복지센터,대전광역시 서구 도림1길 14,042-288-5066,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1070,대전,서구,정림동행정복지센터,대전광역시 서구 정림동로 10,042-288-5094,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1071,대전,서구,변동행정복지센터,대전광역시 서구 중반5길 133,042-288-5124,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1072,대전,서구,용문동행정복지센터,대전광역시 서구 계룡로 626-1,042-288-5150,042-288-5150은 대전 서구 용문동 주민센터의 전화번호입니다,,042-531-3713,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1073,대전,서구,탄방동행정복지센터,대전광역시 서구 탄방로7번길 97,042-288-5186,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1074,대전,서구,둔산1동행정복지센터,대전광역시 서구 둔산중로 65,042-288-5210,042-288-5210은 대전 서구 둔산1동 주민센터의 전화번호입니다,,042-288-5948,042-288-5948은 대전 서구 둔산1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1075,대전,서구,둔산2동행정복지센터,대전광역시 서구 둔산서로 80,042-288-5244,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1076,대전,서구,둔산3동행정복지센터,대전광역시 서구 둔산북로 232-52,042-288-5274,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1077,대전,서구,괴정동행정복지센터,대전광역시 서구 가장로 57,042-288-5300,042-288-5300은 대전 서구 괴정동 주민센터의 전화번호입니다,,042-288-5900,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1078,대전,서구,가장동행정복지센터,대전광역시 서구 도산로 282,042-288-5300,042-288-5300은 대전 서구 괴정동 주민센터의 전화번호입니다,,042-288-5900,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1081,대전,서구,갈마2동행정복지센터,대전광역시 서구 대덕대로 147,042-288-5425,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1082,대전,서구,월평1동행정복지센터,대전광역시 서구 월평서로 13,042-288-5454,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1083,대전,서구,월평2동행정복지센터,대전광역시 서구 갈마역로 145,042-471-8114,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1084,대전,서구,월평3동행정복지센터,대전광역시 서구 청사로 27-9,042-288-5514,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1086,대전,서구,가수원동행정복지센터,대전광역시 서구 가수원로 105,042-288-5574,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1087,대전,서구,도안동행정복지센터,대전광역시 서구 원도안로242번길 33,042-288-5694,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1089,대전,서구,관저2동행정복지센터,대전광역시 서구 관저중로 82,042-288-5634,,,042-288-5900,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1090,대전,서구,기성동행정복지센터,대전광역시 서구 흑석1길 16,042-610-2700,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1092,대전,유성구,학하동행정복지센터,대전광역시 유성구 학하북로 75-21,042-611-2114,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1093,대전,유성구,원신흥동행정복지센터,대전광역시 유성구 봉명로 27-18,042-611-2114,,,042-611-2809,042-611-2809은 대전 유성구 원신흥동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1095,대전,유성구,온천1동행정복지센터,대전광역시 유성구 도안대로589번길 35,042-611-2114,,,042-611-2704,042-611-2704은 대전 유성구 온천1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1096,대전,유성구,온천2동행정복지센터,대전광역시 유성구 장대로 120 ,042-611-6710,042-611-6710은 대전 유성구 온천2동 주민센터의 전화번호입니다,,042-611-2704,042-611-2704은 대전 유성구 온천1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1100,대전,유성구,신성동행정복지센터,대전광역시 유성구 유성대로 1193,042-611-2114,,,042-611-2569,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1102,대전,유성구,구즉동행정복지센터,대전광역시 유성구 구룡달전로 22,042-611-6830,042-611-6830은 대전 유성구 구즉동 주민센터의 전화번호입니다,,042-611-2569,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
1103,대전,유성구,관평동행정복지센터,대전광역시 유성구 관평2로 42 ,042-611-2114,,,042-531-3713,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1106,대전,대덕구,회덕동행정복지센터,대전광역시 대덕구 대전로 1376,042-608-5603,042-608-5603은 대전 대덕구 회덕동 주민센터의 전화번호입니다,,042-608-3891,042-608-3891은 대전 대덕구 덕암동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1110,대전,대덕구,법1동행정복지센터,대전광역시 대덕구 계족로663번길 36,042-608-5607,042-608-5607은 대전 대덕구 법1동 주민센터의 전화번호입니다,,042-608-3887,042-608-3887은 대전 대덕구 법1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1111,대전,대덕구,법2동행정복지센터,대전광역시 대덕구 동춘당로 187,042-608-5608,042-608-5608은 대전 대덕구 법2동 주민센터의 전화번호입니다,,042-608-3887,042-608-3887은 대전 대덕구 법1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1116,울산,중구,학성동행정복지센터,울산광역시 중구 구교로 92,052-297-3049,,,052-290-4509,052-290-4509은 울산 중구 학성동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
1118,울산,중구,반구2동행정복지센터,울산광역시 중구 구교4길 40,052-295-6597,052-295-6597은 울산 북구 농소2동 주민센터의 전화번호입니다,,052-290-4549,052-290-4549은 울산 중구 반구2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1119,울산,중구,복산동행정복지센터,울산광역시 중구 북부순환도로 610,052-290-4560,,,052-290-4569,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
1120,울산,중구,성안동행정복지센터,울산광역시 중구 백양로 34,052-290-4600,052-290-4600은 울산 중구 성안동 주민센터의 전화번호입니다,,052-290-4609,052-290-4609은 울산 중구 성안동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1121,울산,중구,중앙동행정복지센터,울산광역시 중구 중앙길 199,052-282-6270,052-282-6270은 울산 북구 농소3동 주민센터의 전화번호입니다,,052-209-4279,052-209-4279은 울산 동구 전하1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1122,울산,중구,우정동행정복지센터,울산광역시 중구 장춘로 30,052-290-4640,052-290-4640은 울산 중구 우정동 주민센터의 전화번호입니다,,052-290-4649,052-290-4649은 울산 중구 우정동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1123,울산,중구,태화동행정복지센터,울산광역시 중구 유곡로 45,052-290-4660,052-290-4660은 울산 중구 태화동 주민센터의 전화번호입니다,,052-290-4669,052-290-4669은 울산 중구 태화동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1124,울산,중구,다운동행정복지센터,울산광역시 중구 운곡길 6,052-290-4680,052-290-4680은 울산 중구 다운동 주민센터의 전화번호입니다,,052-290-4689,052-290-4689은 울산 중구 다운동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
1125,울산,중구,병영1동행정복지센터,울산광역시 중구 병영3길 8,052-290-4700,052-290-4700은 울산 중구 병영1동 주민센터의 전화번호입니다,,052-290-4709,052-290-4709은 울산 중구 병영1동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
