연번,시도,시군구,읍면동,주    소,전화번호,실제 기관명,올바른 전화번호,팩스번호,실제 기관명,올바른 팩스번호,팩스전송결과(250711),,
873,인천,부평구,갈산1동행정복지센터,인천광역시 부평구 주부토로 254,032-509-8420,,,032-509-8429,,,라인혼잡,,a
874,인천,부평구,갈산2동행정복지센터,인천광역시 부평구 주부토로 173,032-509-8020,,,032-509-8439,,,라인혼잡,,b
875,인천,부평구,삼산1동행정복지센터,인천광역시 부평구 후정동로 9,032-509-8440,,,032-509-8449,,,성공,,a
876,인천,부평구,삼산2동행정복지센터,인천광역시 부평구 굴포로 137,032-509-8450,,,032-509-8656,,,성공,,b
877,인천,부평구,부개1동행정복지센터,인천광역시 부평구 동수로162번길 11,032-509-8460,,,032-509-8469,,,성공,,a
878,인천,부평구,부개2동행정복지센터,인천광역시 부평구 동수천로 104,032-509-8470,,,032-330-1373,,,성공,,b
879,인천,부평구,부개3동행정복지센터,인천광역시 부평구 길주남로 117,032-509-8480,,,032-330-1373,,,성공,,a
880,인천,부평구,일신동행정복지센터,인천광역시 부평구 경인로1148번길 6,032-509-8490,,,032-509-8499,,,성공,,b
881,인천,부평구,십정1동행정복지센터,"인천광역시 부평구 열우물로 103, 2층",032-433-8549,,,032-509-8609,,,성공,,a
882,인천,부평구,십정2동행정복지센터,인천광역시 부평구 동암산로33번길 6-7,032-509-8020,,,032-509-8619,,,성공,,b
883,인천,계양구,효성1동행정복지센터,인천광역시 계양구 봉오대로569번길 22,032-450-4700,,,032-541-9929,,,성공,,a
884,인천,계양구,효성2동행정복지센터,인천광역시 계양구 아나지로 162,032-450-4720,,,032-541-9929,,,성공,,b
885,인천,계양구,계산1동행정복지센터,인천광역시 계양구 향교로 24,032-450-4740,,,,,,#N/A,,a
886,인천,계양구,계산2동행정복지센터,인천광역시 계양구 주부토로 559,032-450-4760,,,,,,#N/A,,b
887,인천,계양구,계산3동행정복지센터,인천광역시 계양구 계산새로 7,032-450-4780,,,,,,#N/A,,a
888,인천,계양구,계산4동행정복지센터,인천광역시 계양구 용종로 12-8,032-450-4960,,,,,,#N/A,,b
889,인천,계양구,작전1동행정복지센터,인천광역시 계양구 봉오대로 727,032-450-4800,,,032-541-9929,,,성공,,a
890,인천,계양구,작전2동행정복지센터,인천광역시 계양구 봉오대로677번길 23,032-450-4820,,,032-541-9929,,,성공,,b
891,인천,계양구,작전서운동행정복지센터,인천광역시 계양구 효서로 361,032-450-4840,,,032-541-9929,,,성공,,a
892,인천,계양구,계양1동행정복지센터,인천광역시 계양구 장기서로 8,032-450-4860,,,032-541-9929,,,성공,,b
893,인천,계양구,계양2동행정복지센터,인천광역시 계양구 장제로 853,032-450-4882,,,032-553-9807,,,성공,,a
894,인천,계양구,계양3동행정복지센터,인천광역시 계양구 양지로 31,032-430-7910,,,032-541-9929,,,성공,,b
895,인천,서구,검암경서동행정복지센터,인천광역시 서구 승학로 480,032-718-3520,,,032-718-3538,,,성공,,a
896,인천,서구,연희동행정복지센터,인천광역시 서구 간촌로 12,032-718-3560,,,032-718-3578,,,성공,,b
897,인천,서구,청라1동행정복지센터,인천광역시 서구 청라라임로 58,032-718-3600,,,032-718-3608,,,성공,,a
898,인천,서구,청라2동행정복지센터,인천광역시 서구 청라커낼로 269,032-718-3640,,,032-718-3648,,,성공,,b
899,인천,서구,청라3동행정복지센터,인천광역시 서구 청라한내로 89,032-718-3680,,,032-718-3688,,,성공,,a
900,인천,서구,가정1동행정복지센터,인천광역시 서구 가정로406번길 25,032-718-3720,,,032-718-3739,,,성공,,b
901,인천,서구,가정2동행정복지센터,인천광역시 서구 서곶로 100,032-718-3750,,,032-718-3759,,,성공,,a
902,인천,서구,가정3동행정복지센터,인천광역시 서구 서달로179번길 12-16,032-718-3790,,,032-718-3799,,,성공,,b
903,인천,서구,신현원창동행정복지센터,인천광역시 서구 가정로335번길 3,032-718-3840,,,032-718-3858,,,성공,,a
904,인천,서구,석남1동행정복지센터,인천광역시 서구 가정로294번길 17,032-718-3880,,,032-718-3898,,,성공,,b
905,인천,서구,석남2동행정복지센터,인천광역시 서구 거북로 116,032-718-3920,,,032-718-3929,,,성공,,a
906,인천,서구,석남3동행정복지센터,인천광역시 서구 서달로 107,032-718-3960,,,032-718-3969,,,성공,,b
907,인천,서구,가좌1동행정복지센터,인천광역시 서구 가정로112번길 10,032-718-5120,,,032-718-5129,,,성공,,a
908,인천,서구,가좌2동행정복지센터,인천광역시 서구 장고개로309번길 4,032-718-5160,,,032-718-5178,,,성공,,b
909,인천,서구,가좌3동행정복지센터,인천광역시 서구 원적로57번길 4,032-718-5200,,,032-718-5208,,,성공,,a
910,인천,서구,가좌4동행정복지센터,인천광역시 서구 장고개로280번길 14,032-718-5240,,,032-718-5248,,,성공,,b
911,인천,서구,검단동행정복지센터,인천광역시 서구 검단로529번길 14,032-718-5280,,,032-718-5298,,,통화중실패,,a
912,인천,서구,불로대곡동행정복지센터,인천광역시 서구 검단로 814,032-718-5320,,,032-718-5329,,,성공,,b
913,인천,서구,원당동행정복지센터,인천광역시 서구 고산로 24,032-718-5360,,,032-718-5369,,,성공,,a
914,인천,서구,당하동행정복지센터,인천광역시 서구 청마로167번길 19,032-718-5400,,,032-718-5409,,,성공,,b
915,인천,서구,오류왕길동행정복지센터,인천광역시 서구 봉화로 42,032-718-5440,,,032-718-5449,,,성공,,a
916,인천,서구,마전동행정복지센터,인천광역시 서구 완정로10번길 14,032-718-5480,,,032-561-7651,,,성공,,b
917,인천,서구,아라동행정복지센터,인천광역시 서구 바리미로 23,032-718-5510,,,032-508-4347,,,연결끊김 ,,a
918,인천,강화군,강화읍사무소,인천광역시 강화군 강화읍 강화대로440번길 10,032-930-4400,,,032-930-3660,,,성공,,b
919,인천,강화군,선원면사무소,인천광역시 강화군 선원면 대문고개로 22,032-930-4214,,,032-930-4400,,,연결끊김 ,,a
920,인천,강화군,불은면사무소,인천광역시 강화군 불은면 강화동로 562-3,032-930-4420,,,032-930-3663,,,성공,,b
921,인천,강화군,길상면사무소,인천광역시 강화군 길상면 마니산로21,032-509-8430,,,032-509-8439,,,라인혼잡,,a
922,인천,강화군,화도면사무소,인천광역시 강화군 화도면 마니산로 703-14,032-930-4440,,,,,,#N/A,,b
923,인천,강화군,양도면사무소,인천광역시 강화군 양도면 강화남로 708-2,032-930-4400,,,032-728-6629,,,성공,,a
924,인천,강화군,내가면사무소,인천광역시 강화군 내가면 강화서로 249,032-930-4460,,,032-728-6699,,,성공,,b
925,인천,강화군,하점면사무소,인천광역시 강화군 하점면 강화대로 1220,032-930-4470,,,032-933-1082,,,응답없음,,a
926,인천,강화군,양사면사무소,인천광역시 강화군 양사면 전망대로 1391,032-930-4484,,,032-728-6869,,,성공,,b
927,인천,강화군,송해면사무소,인천광역시 강화군 송해면 전망대로 29,032-930-4496,,,032-930-3660,,,성공,,a
928,인천,강화군,교동면사무소,인천광역시 강화군 교동면 교동동로 485-13,032-930-4500,,,,,,#N/A,,b
929,인천,강화군,삼산면사무소,인천광역시 강화군 삼산면 삼산북로 475,032-930-4510,,,032-509-8440,,,연결끊김 ,,a
930,인천,강화군,서도면사무소,인천광역시 강화군 서도면 주문도1길 16,032-930-4400,,,032-718-5178,,,성공,,b
931,인천,옹진군,북도면사무소,인천광역시 옹진군 북도면 시도로 82,032-899-3410,,,032-899-3681,,,성공,,a
932,인천,옹진군,연평면사무소,인천광역시 옹진군 연평면 연평중앙로24번길 3,032-899-3450,,,032-899-3682,,,성공,,b
933,인천,옹진군,백령면사무소,인천광역시 옹진군 백령면 백령로278번길 61-2,032-899-3510,,,032-899-3683,,,성공,,a
934,인천,옹진군,대청면사무소,인천광역시 옹진군 대청면 대청로19번길 59,032-718-3960,,,032-899-3694,,,성공,,b
935,인천,옹진군,덕적면사무소,인천광역시 옹진군 덕적면 덕적북로 130 ,032-899-3710,,,032-899-3694,,,성공,,a
936,인천,옹진군,자월면사무소,인천광역시 옹진군 자월면 자월서로 164 ,032-833-6010,,,032-899-3686,,,성공,,b
937,인천,옹진군,영흥면사무소,인천광역시 옹진군 영흥면 영흥로251번길 90,032-886-7800,,,032-899-3694,,,성공,,a
938,광주,동구,충장동행정복지센터,광주광역시 동구 충장로58번길 16,,,,,,,#N/A,,b
939,광주,동구,동명동행정복지센터,광주광역시 동구 동명로26번길 13,,,,,,,#N/A,,a
940,광주,동구,계림1동행정복지센터,광주광역시 동구 경양로247번길 26,062-608-3565,,,062-528-1696,,,시간초과,,b
941,광주,동구,계림2동행정복지센터,"광주광역시 동구 계림로30번길 15, 227동1층상가13호",062-608-3594,,,062-607-4574,,,성공,,a
942,광주,동구,산수1동행정복지센터,광주광역시 동구 무등로449번길 12,,,,062-607-4549,,,성공,,b
943,광주,동구,산수2동행정복지센터,광주광역시 동구 필문대로191번길 43-24,062-608-3654,,,062-608-3652,,,연결끊김 ,,a
944,광주,동구,지산1동행정복지센터,광주광역시 동구 지산로 57,062-608-3680,,,,,,#N/A,,b
945,광주,동구,지산2동행정복지센터,광주광역시 동구 지호로 51,,,,062-608-3769,,,성공,,a
946,광주,동구,서남동행정복지센터,광주광역시 동구 서남로 14,062-608-3752,,,062-608-3740,,,연결끊김 ,,b
947,광주,동구,학동행정복지센터,광주광역시 동구 남문로753번길 20 상가 A동 102호,,,,,,,#N/A,,a
948,광주,동구,학운동행정복지센터,광주광역시 동구 의재로 53,062-608-3800,,,062-607-4774,,,성공,,b
949,광주,동구,지원1동행정복지센터,광주광역시 동구 지원로 31-9,062-608-3830,,,,,,#N/A,,a
950,광주,동구,지원2동행정복지센터,광주광역시 동구 화산로 361,062-234-2163,,,062-234-2164,,,성공,,b
951,광주,서구,양동행정복지센터,광주광역시 서구 천변좌로222번길 3-2,062-607-4679,,,062-607-4599,,,성공,,a
952,광주,서구,양3동행정복지센터,광주광역시 서구 상무대로1223번길 16,062-360-7114,,,062-350-4002,,,성공,,b
953,광주,서구,농성1동행정복지센터,광주광역시 서구 상무대로1189번길 23,,,,062-360-7600,,,성공,,a
954,광주,서구,농성2동행정복지센터,광주광역시 서구 화정로 314,062-350-4262,,,062-360-7600,,,성공,,b
955,광주,서구,광천동행정복지센터,광주광역시 서구 광천2길 9,062-350-4282,,,062-350-4005,,,연결끊김 ,,a
956,광주,서구,유덕동행정복지센터,광주광역시 서구 유덕로 24,062-350-4302,,,062-607-4994,,,성공,,b
957,광주,서구,치평동행정복지센터,광주광역시 서구 상무공원로 62,062-350-4322,,,062-607-4849,,,성공,,a
958,광주,서구,상무1동행정복지센터,광주광역시 서구 월드컵4강로197번길 20,062-350-4342,,,062-360-7600,,,성공,,b
959,광주,서구,상무2동행정복지센터,광주광역시 서구 화정로85번길 17,062-350-4362,,,062-350-4009,,,성공,,a
960,광주,서구,화정1동행정복지센터,광주광역시 서구 내방로338번길 11,062-607-4527,,,062-607-4549,,,성공,,b
961,광주,서구,화정2동행정복지센터,광주광역시 서구 화운로 94,062-350-4402,,,,,,#N/A,,a
962,광주,서구,화정3동행정복지센터,광주광역시 서구 월드컵4강로68번길 21,062-350-4422,,,,,,#N/A,,b
963,광주,서구,화정4동행정복지센터,광주광역시 서구 염화로83번길 3,,,,062-360-7600,,,성공,,a
964,광주,서구,서창동행정복지센터,광주광역시 서구 눌재로 412,062-360-7114,,,062-607-4599,,,성공,,b
965,광주,서구,금호1동행정복지센터,광주광역시 서구 운천로31번길 17,062-350-4482,,,062-360-7600,,,성공,,a
966,광주,서구,금호2동행정복지센터,광주광역시 서구 풍금로 135,062-350-4502,,,062-360-7600,,,성공,,b
967,광주,서구,풍암동행정복지센터,광주광역시 서구 풍암1로 27,062-350-4522,,,062-607-4699,,,성공,,a
968,광주,서구,동천동행정복지센터,광주광역시 서구 유림로98번길 8,062-350-4601,,,062-350-4022,,,성공,,b
969,광주,남구,양림동행정복지센터,광주광역시 남구 백서로 94,062-607-4503,,,062-607-4524,,,성공,,a
970,광주,남구,방림1동행정복지센터,광주광역시 남구 오방로 101-2,062-607-4527,,,062-607-4549,,,성공,,b
971,광주,남구,방림2동행정복지센터,광주광역시 남구 천변좌로566번다길 12,062-607-4552,,,062-607-4574,,,성공,,a
972,광주,남구,봉선1동행정복지센터,광주광역시 남구 봉선로51번길 21,062-607-4586,,,062-607-4599,,,성공,,b
973,광주,남구,봉선2동행정복지센터,광주광역시 남구 봉선중앙로26번길 10,062-607-4604,,,062-607-4624,,,성공,,a
974,광주,남구,사직동행정복지센터,광주광역시 남구 중앙로95번길 14,,,,062-654-4971,,,성공,,b
975,광주,남구,월산동행정복지센터,광주광역시 남구 덕림2길 3,062-607-4652,,,062-607-4674,,,성공,,a
976,광주,남구,월산4동행정복지센터,광주광역시 남구 대남대로390번길 11,062-607-4679,,,062-607-4699,,,성공,,b
977,광주,남구,월산5동행정복지센터,광주광역시 남구 군분로82번길 14,062-607-4657,,,062-651-7603,,,응답없음,,a
978,광주,남구,백운1동행정복지센터,광주광역시 남구 독립로54번길 20,062-607-4727,,,,,,#N/A,,b
979,광주,남구,백운2동행정복지센터,광주광역시 남구 진다리로6번길 9,062-607-4752,,,062-607-4774,,,성공,,a
980,광주,남구,주월1동행정복지센터,광주광역시 남구 회서로21번가길 13,062-607-4778,,,,,,#N/A,,b
981,광주,남구,주월2동행정복지센터,광주광역시 남구 군분로13번길 12,062-607-4806,,,062-607-4824,,,성공,,a
982,광주,남구,진월동행정복지센터,광주광역시 남구 화산로 15,062-607-4830,,,062-607-4845,,,연결끊김 ,,b
983,광주,남구,효덕동행정복지센터,광주광역시 남구 효우로 200,062-350-4302,,,062-607-4994,,,성공,,a
984,광주,남구,송암동행정복지센터,광주광역시 남구 송암로 66,062-960-8114,,,062-671-2971,,,성공,,b
985,광주,남구,대촌동행정복지센터,광주광역시 남구 포충로 591,062-607-4878,,,062-385-9134,,,성공,,a
986,광주,북구,중흥1동행정복지센터,광주광역시 북구 중흥로183번길 7,062-350-4242,,,,,,#N/A,,b
987,광주,북구,중흥동행정복지센터,광주광역시 북구 당뫼로 33,062-410-8613,,,,,,#N/A,,a
988,광주,북구,중앙동행정복지센터,광주광역시 북구 금재로 30,,,,,,,#N/A,,b
989,광주,북구,임동행정복지센터,광주광역시 북구 서림로 53,062-410-8643,,,062-960-3758,,,성공,,a
990,광주,북구,신안동행정복지센터,광주광역시 북구 자산로 66,062-410-8653,,,,,,#N/A,,b
991,광주,북구,용봉동행정복지센터,광주광역시 북구 용주로18번길 28,062-410-8663,,,062-526-2015,,,성공,,a
992,광주,북구,운암1동행정복지센터,광주광역시 북구 동운로201번길 55,062-410-8673,,,,,,#N/A,,b
993,광주,북구,운암2동행정복지센터,광주광역시 북구 죽봉대로 214,062-410-8685,,,,,,#N/A,,a
994,광주,북구,운암3동행정복지센터,광주광역시 북구 서강로 129,062-410-8693,,,,,,#N/A,,b
995,광주,북구,동림동행정복지센터,광주광역시 북구 북문대로 236,062-410-8703,,,062-607-4549,,,성공,,a
996,광주,북구,우산동행정복지센터,광주광역시 북구 서방로 68번길 21,062-960-7662,,,062-960-8990,,,성공,,b
997,광주,북구,풍향동행정복지센터,광주광역시 북구 필문대로29번길 10,062-410-8725,,,,,,#N/A,,a
998,광주,북구,문화동행정복지센터(임시청사),"광주광역시 북구 동문대로 249번길 7, 상가동 2층(임시청사)",062-410-8735,,,,,,#N/A,,b
999,광주,북구,문흥1동행정복지센터,광주광역시 북구 대천로 140-3,,,,062-410-8743,,,연결끊김 ,,a
1000,광주,북구,문흥2동행정복지센터,광주광역시 북구 문산로 25,062-268-2634,,,062-960-8990,,,성공,,b
1001,광주,북구,두암1동행정복지센터,광주광역시 북구 동문대로110번길 77,062-410-8763,,,,,,#N/A,,a
1002,광주,북구,두암2동행정복지센터,광주광역시 북구 면앙로192번길 15,062-410-8773,,,,,,#N/A,,b
1003,광주,북구,두암3동행정복지센터,광주광역시 북구 삼정로3번길 25,062-410-8786,,,,,,#N/A,,a
1004,광주,북구,삼각동행정복지센터,광주광역시 북구 설죽로 447,062-410-8793,,,062-510-1540,,,연결끊김 ,,b
1005,광주,북구,일곡동행정복지센터,광주광역시 북구 설죽로 525,062-410-8803,,,,,,#N/A,,a
1006,광주,북구,매곡동행정복지센터,광주광역시 북구 매곡로69번길 25,062-410-8843,,,,,,#N/A,,b
1007,광주,북구,오치1동행정복지센터,광주광역시 북구 우치로274번길 48,062-410-8823,,,,,,#N/A,,a
1008,광주,북구,오치2동행정복지센터,광주광역시 북구 서하로183번길 29,062-410-8833,,,,,,#N/A,,b
1009,광주,북구,석곡동행정복지센터,광주광역시 북구 석곡로 634,,,,062-410-8843,,,연결끊김 ,,a
1010,광주,북구,건국동행정복지센터,광주광역시 북구 본촌마을길 25,,,,,,,#N/A,,b
1011,광주,북구,양산동행정복지센터,광주광역시 북구 양산택지로 32,,,,062-510-1457,,,성공,,a
1012,광주,북구,신용동행정복지센터,광주광역시 북구 첨단연신로107번길 22,062-410-8305,,,062-960-8990,,,성공,,b
1013,광주,광산구,송정1동행정복지센터,광주광역시 광산로 70,062-960-7609,,,062-960-8990,,,성공,,a
1014,광주,광산구,송정2동행정복지센터,광주광역시 광산구 광산로30번길 65,062-941-3527,,,062-960-8990,,,성공,,b
1015,광주,광산구,도산동행정복지센터,광주광역시 광산구 도산로 12,062-960-7623,,,062-960-7873,,,연결끊김 ,,a
1016,광주,광산구,신흥동행정복지센터,광주광역시 광산구 신흥동안길 9,,,,062-960-3745,,,성공,,b
1017,광주,광산구,어룡동행정복지센터,광주광역시 광산구 선운중앙로67번길 6,062-960-7643,,,062-960-8990,,,성공,,a
1018,광주,광산구,우산동행정복지센터,광주광역시 광산구 무진대로 246-12,062-960-7662,,,062-960-8990,,,성공,,b
1019,광주,광산구,월곡1동행정복지센터,광주광역시 광산구 사암로 306,062-960-8114,,,062-960-8990,,,성공,,a
1020,광주,광산구,월곡2동행정복지센터,광주광역시 광산구 산정공원로72번길 21-12,062-960-7822,,,062-960-3758,,,성공,,b
1021,광주,광산구,비아동행정복지센터,광주광역시 광산구 비아중앙로31번길 8-6,062-960-8114,,,062-960-8990,,,성공,,a
1022,광주,광산구,첨단1동행정복지센터,광주광역시 광산구 첨단중앙로 160,062-350-4242,,,062-960-8990,,,성공,,b
1023,광주,광산구,첨단2동행정복지센터,광주광역시 광산구 첨단중앙로124번길 24,062-960-8114,,,062-960-8990,,,성공,,a
1024,광주,광산구,신가동행정복지센터(임시청사),광주광역시 광산구 목련로382번안길 36-1,062-960-8114,,,,,,#N/A,,b
1025,광주,광산구,운남동행정복지센터,광주광역시 광산구 목련로217번길 10,,,,062-607-4699,,,성공,,a
1026,광주,광산구,신창동행정복지센터,광주광역시 광산구 왕버들로 291,062-960-8114,,,062-960-7884,,,성공,,b
1027,광주,광산구,수완동행정복지센터,광주광역시 광산구 장덕로 158,062-960-8114,,,,,,#N/A,,a
1028,광주,광산구,하남동행정복지센터,광주광역시 광산구 하남대로54번길 15,062-960-8114,,,062-960-7886,,,성공,,b
1029,광주,광산구,임곡동행정복지센터,광주광역시 광산구 고봉로 788,062-960-7821,,,062-607-4549,,,성공,,a
1030,광주,광산구,동곡동행정복지센터,광주광역시 광산구 동곡로 151-56,,,,062-960-8990,,,성공,,b
1031,광주,광산구,평동행정복지센터,광주광역시 광산구 평동로 790,,,,062-960-8990,,,성공,,a
1032,광주,광산구,삼도동행정복지센터,광주광역시 광산구 오운로 433-1,,,,062-960-8990,,,성공,,b
1033,광주,광산구,본량동행정복지센터,광주광역시 광산구 용진로 379,062-960-7863,,,062-960-8990,,,성공,,a
1034,대전,동구,중앙동 행정복지센터,대전광역시 동구 대동천우안5길 24 ,042-251-4114,,,042-224-6178,,,성공,,b
1035,대전,동구,신인동 행정복지센터,대전광역시 동구 충무로203번길 28-25 ,042-251-4114,,,042-608-5609,,,연결끊김 ,,a
1036,대전,동구,효동 행정복지센터,대전광역시 동구 대전로542번길 143,042-251-4114,,,,,,#N/A,,b
1037,대전,동구,판암1동 행정복지센터,대전광역시 동구 동부로10번길 68,042-259-7291,,,,,,#N/A,,a
1038,대전,동구,판암2동 행정복지센터,대전광역시 동구 동부로 37 ,042-251-4114,,,042-259-7321,,,연결끊김 ,,b
1039,대전,동구,용운동 행정복지센터,대전광역시 동구 새울로109번길 5 ,042-251-4114,,,042-259-7351,,,연결끊김 ,,a
1040,대전,동구,대동 행정복지센터,대전광역시 동구 계족로 180 ,042-251-4114,,,042-611-2569,,,성공,,b
1041,대전,동구,자양동 행정복지센터,대전광역시 동구 백룡로 16 ,,,,042-259-7411,,,연결끊김 ,,a
1042,대전,동구,가양1동 행정복지센터,대전광역시 동구 가양로 122 ,042-251-4114,,,042-259-7441,,,연결끊김 ,,b
1043,대전,동구,가양2동 행정복지센터,대전광역시 동구 흥룡로 33 ,042-251-4114,,,,,,#N/A,,a
1044,대전,동구,용전동 행정복지센터,대전광역시 동구 계족로 515 ,042-251-4114,,,042-259-7501,,,연결끊김 ,,b
1045,대전,동구,성남동 행정복지센터,대전광역시 동구 계족로368번길 70 ,042-251-4114,,,042-531-3713,,,성공,,a
1046,대전,동구,홍도동 행정복지센터,대전광역시 동구 동산초교로34번길 56 ,042-251-4114,,,,,,#N/A,,b
1047,대전,동구,삼성동 행정복지센터,대전광역시 동구 태전로 138-12 ,042-251-4114,,,042-611-2569,,,성공,,a
1048,대전,동구,대청동 행정복지센터,대전광역시 동구 옥천로 633 ,042-251-4114,,,042-259-7621,,,연결끊김 ,,b
1049,대전,동구,산내동 행정복지센터,대전광역시 동구 산내로1257번길 53,042-251-4114,,,042-367-0012,,,성공,,a
1050,대전,중구,은행선화동행정복지센터,대전광역시 중구 보문로337번길 33,042-606-6114,,,042-288-8400,,,연결끊김 ,,b
1051,대전,중구,목동행정복지센터,대전광역시 중구 목중로39번길 39,042-288-8440,,,,,,#N/A,,a
1052,대전,중구,중촌동행정복지센터,대전광역시 중구 대종로 663-7,042-606-6114,,,042-288-8470,,,연결끊김 ,,b
1053,대전,중구,대흥동행정복지센터,"대전광역시 중구 대흥로 109, 3층",042-606-6114,,,042-531-3713,,,성공,,a
1054,대전,중구,문창동행정복지센터,대전광역시 중구 보문로20번길 38,042-288-8530,,,,,,#N/A,,b
1055,대전,중구,석교동행정복지센터,대전광역시 중구 대종로 267,042-606-6114,,,042-283-8171,,,성공,,a
1056,대전,중구,대사동행정복지센터,대전광역시 중구 충무로74번길 14,042-288-8612,,,042-608-5612,,,연결끊김 ,,b
1057,대전,중구,부사동행정복지센터,대전광역시 중구 보문로68번길 20,042-606-6114,,,042-531-3713,,,성공,,a
1058,대전,중구,용두동행정복지센터,대전광역시 중구 동서대로1322번길 111,042-606-6114,,,042-288-8660,,,연결끊김 ,,b
1059,대전,중구,오류동행정복지센터,대전광역시 중구 오류로 56,042-288-8690,,,,,,#N/A,,a
1060,대전,중구,태평1동행정복지센터,대전광역시 중구 동서대로 1234,042-288-8732,,,,,,#N/A,,b
1061,대전,중구,태평2동행정복지센터,대전광역시 중구 평촌로 51,042-606-6114,,,,,,#N/A,,a
1062,대전,중구,유천1동행정복지센터,대전광역시 중구 계백로1566번길 57,042-606-6114,,,042-288-8780,,,연결끊김 ,,b
1063,대전,중구,유천2동행정복지센터,대전광역시 중구 문화로133번길 55,042-288-8810,,,,,,#N/A,,a
1064,대전,중구,문화1동행정복지센터,대전광역시 중구 문화로 195,042-288-5454,,,042-288-8840,,,연결끊김 ,,b
1065,대전,중구,문화2동행정복지센터,대전광역시 중구 당디로6번길 90,042-288-8870,,,042-288-5900,,,성공,,a
1066,대전,중구,산성동행정복지센터,대전광역시 중구 대둔산로 403,042-606-6114,,,042-288-8900,,,연결끊김 ,,b
1067,대전,서구,복수동행정복지센터,대전광역시 서구 복수동로49,042-288-5000,,,042-288-5900,,,성공,,a
1068,대전,서구,도마1동행정복지센터,대전광역시 서구 도마3길 46,042-288-5030,,,042-288-5942,,,성공,,b
1069,대전,서구,도마2동행정복지센터,대전광역시 서구 도림1길 14,042-288-5066,,,042-288-5900,,,성공,,a
1070,대전,서구,정림동행정복지센터,대전광역시 서구 정림동로 10,042-288-5094,,,042-288-5900,,,성공,,b
1071,대전,서구,변동행정복지센터,대전광역시 서구 중반5길 133,042-288-5124,,,042-288-5900,,,성공,,a
1072,대전,서구,용문동행정복지센터,대전광역시 서구 계룡로 626-1,042-288-5150,,,042-531-3713,,,성공,,b
1073,대전,서구,탄방동행정복지센터,대전광역시 서구 탄방로7번길 97,042-288-5186,,,042-288-5900,,,성공,,a
1074,대전,서구,둔산1동행정복지센터,대전광역시 서구 둔산중로 65,042-288-5210,,,042-288-5948,,,성공,,b
1075,대전,서구,둔산2동행정복지센터,대전광역시 서구 둔산서로 80,042-288-5244,,,042-288-5900,,,성공,,a
1076,대전,서구,둔산3동행정복지센터,대전광역시 서구 둔산북로 232-52,042-288-5274,,,042-288-5900,,,성공,,b
1077,대전,서구,괴정동행정복지센터,대전광역시 서구 가장로 57,042-288-5300,,,042-288-5900,,,성공,,a
1078,대전,서구,가장동행정복지센터,대전광역시 서구 도산로 282,042-288-5300,,,042-288-5900,,,성공,,b
1079,대전,서구,내동행정복지센터,대전광역시 서구 도솔로 247,042-288-5360,,,042-608-5601,,,연결끊김 ,,a
1080,대전,서구,갈마1동행정복지센터,대전광역시 서구 신갈마로 191,042-288-5390,,,,,,#N/A,,b
1081,대전,서구,갈마2동행정복지센터,대전광역시 서구 대덕대로 147,042-288-5425,,,042-288-5900,,,성공,,a
1082,대전,서구,월평1동행정복지센터,대전광역시 서구 월평서로 13,042-288-5454,,,042-288-5900,,,성공,,b
1083,대전,서구,월평2동행정복지센터,대전광역시 서구 갈마역로 145,042-471-8114,,,042-288-5900,,,성공,,a
1084,대전,서구,월평3동행정복지센터,대전광역시 서구 청사로 27-9,042-288-5514,,,042-288-5900,,,성공,,b
1085,대전,서구,만년동행정복지센터,대전광역시 서구 만년로 19,042-288-5553,,,042-288-2437,,,연결끊김 ,,a
1086,대전,서구,가수원동행정복지센터,대전광역시 서구 가수원로 105,042-288-5574,,,042-288-5900,,,성공,,b
1087,대전,서구,도안동행정복지센터,대전광역시 서구 원도안로242번길 33,042-288-5694,,,042-288-5900,,,성공,,a
1088,대전,서구,관저1동행정복지센터,대전광역시 서구 관저북로 24,042-288-5604,,,042-288-5600,,,연결끊김 ,,b
1089,대전,서구,관저2동행정복지센터,대전광역시 서구 관저중로 82,042-288-5634,,,042-288-5900,,,성공,,a
1090,대전,서구,기성동행정복지센터,대전광역시 서구 흑석1길 16,042-610-2700,,,042-531-3713,,,성공,,b
1091,대전,유성구,진잠동행정복지센터,대전광역시 유성구 원내로 5,042-611-2114,,,042-608-5601,,,연결끊김 ,,a
1092,대전,유성구,학하동행정복지센터,대전광역시 유성구 학하북로 75-21,042-611-2114,,,042-531-3713,,,성공,,b
1093,대전,유성구,원신흥동행정복지센터,대전광역시 유성구 봉명로 27-18,042-611-2114,,,042-611-2809,,,성공,,a
1094,대전,유성구,상대동행정복지센터,대전광역시 유성구 월드컵대로316번길 28-7,042-611-2114,,,,,,#N/A,,b
1095,대전,유성구,온천1동행정복지센터,대전광역시 유성구 도안대로589번길 35,042-611-2114,,,042-611-2704,,,성공,,a
1096,대전,유성구,온천2동행정복지센터,대전광역시 유성구 장대로 120 ,042-611-6710,,,042-611-2704,,,성공,,b
1097,대전,유성구,노은1동행정복지센터,대전광역시 유성구 노은동로87번길 89 ,042-611-6740,,,,,,#N/A,,a
1098,대전,유성구,노은2동행정복지센터,대전광역시 유성구 송림로19번길 35 ,042-611-6860,,,,,,#N/A,,b
1099,대전,유성구,노은3동행정복지센터,대전광역시 유성구 지족동로 145,042-611-6940,,,,,,#N/A,,a
